frame_number,timestamp,file_directory
5,20-00-34,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-5_20-00-34.jpg
1,20-00-30,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-1_20-00-30.jpg
12,20-00-41,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-12_20-00-41.jpg
6,20-00-35,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-6_20-00-35.jpg
2,20-00-31,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-2_20-00-31.jpg
13,20-00-42,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-13_20-00-42.jpg
3,20-00-32,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-3_20-00-32.jpg
7,20-00-36,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-7_20-00-36.jpg
3,20-00-32,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-3_20-00-32.jpg
4,20-00-33,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-4_20-00-33.jpg
8,20-00-37,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-8_20-00-37.jpg
16,20-00-45,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-16_20-00-45.jpg
14,20-00-43,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-14_20-00-43.jpg
9,20-00-38,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-9_20-00-38.jpg
17,20-00-46,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-17_20-00-46.jpg
15,20-00-44,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-15_20-00-44.jpg
10,20-00-39,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-10_20-00-39.jpg
11,20-00-40,c:\Users\THANH CONG\Documents\RESFES\demo\16-03-2026\frame-11_20-00-40.jpg
